,accounter,latitude,longitude,altitude,satelliteInView,timingForThisSet,LoopSpeed,UploadSpeed
175,34,0.0,0.0,0.0,0.0,0.0,821,328
176,34,0.0,0.0,0.0,0.0,0.0,821,328
177,34,0.0,0.0,0.0,0.0,0.0,921,328
178,34,0.0,0.0,0.0,0.0,0.0,921,328
179,34,0.0,0.0,0.0,0.0,0.0,821,328
180,34,0.0,0.0,0.0,0.0,0.0,821,328
181,35,0.0,0.0,0.0,0.0,0.0,821,328
182,35,0.0,0.0,0.0,0.0,0.0,1039,117
183,35,0.0,0.0,0.0,0.0,0.0,1039,117
184,35,0.0,0.0,0.0,0.0,0.0,1039,117
185,35,0.0,0.0,0.0,0.0,0.0,720,117
186,35,0.0,0.0,0.0,0.0,0.0,720,117
187,35,0.0,0.0,0.0,0.0,0.0,720,117
188,35,0.0,0.0,0.0,0.0,0.0,923,117
189,35,0.0,0.0,0.0,0.0,0.0,821,117
190,35,0.0,0.0,0.0,0.0,0.0,821,117
191,35,0.0,0.0,0.0,0.0,0.0,921,117
192,35,0.0,0.0,0.0,0.0,0.0,921,117
193,35,0.0,0.0,0.0,0.0,0.0,821,117
194,35,0.0,0.0,0.0,0.0,0.0,821,117
195,35,0.0,0.0,0.0,0.0,0.0,821,117
196,35,0.0,0.0,0.0,0.0,0.0,921,117
197,35,0.0,0.0,0.0,0.0,0.0,921,117
198,35,0.0,0.0,0.0,0.0,0.0,820,117
199,35,0.0,0.0,0.0,0.0,0.0,820,117
200,35,0.0,0.0,0.0,0.0,0.0,820,117
201,35,0.0,0.0,0.0,0.0,0.0,820,117
202,35,0.0,0.0,0.0,0.0,0.0,215,117
203,36,0.0,0.0,0.0,0.0,0.0,1312,390
204,36,0.0,0.0,0.0,0.0,0.0,1312,390
205,36,0.0,0.0,0.0,0.0,0.0,417,390
206,36,0.0,0.0,0.0,0.0,0.0,417,390
207,36,0.0,0.0,0.0,0.0,0.0,417,390
208,36,0.0,0.0,0.0,0.0,0.0,922,390
209,36,0.0,0.0,0.0,0.0,0.0,922,390
210,36,0.0,0.0,0.0,0.0,0.0,922,390
211,36,0.0,0.0,0.0,0.0,0.0,720,390
212,36,0.0,0.0,0.0,0.0,0.0,720,390
213,36,0.0,0.0,0.0,0.0,0.0,720,390
214,36,0.0,0.0,0.0,0.0,0.0,922,390
215,36,0.0,0.0,0.0,0.0,0.0,922,390
216,36,0.0,0.0,0.0,0.0,0.0,922,390
217,36,0.0,0.0,0.0,0.0,0.0,821,390
218,36,0.0,0.0,0.0,0.0,0.0,821,390
219,36,0.0,0.0,0.0,0.0,0.0,821,390
220,36,0.0,0.0,0.0,0.0,0.0,922,390
221,36,0.0,0.0,0.0,0.0,0.0,922,390
222,36,0.0,0.0,0.0,0.0,0.0,822,390
223,36,0.0,0.0,0.0,0.0,0.0,822,390
224,36,0.0,0.0,0.0,0.0,0.0,822,390
225,36,0.0,0.0,0.0,0.0,0.0,822,390
226,36,0.0,0.0,0.0,0.0,0.0,922,390
227,36,0.0,0.0,0.0,0.0,0.0,922,390
228,36,0.0,0.0,0.0,0.0,0.0,821,390
229,36,0.0,0.0,0.0,0.0,0.0,821,390
230,36,0.0,0.0,0.0,0.0,0.0,821,390
231,37,0.0,0.0,0.0,0.0,0.0,821,133
232,37,0.0,0.0,0.0,0.0,0.0,1055,133
233,37,0.0,0.0,0.0,0.0,0.0,721,133
234,37,0.0,0.0,0.0,0.0,0.0,721,133
235,37,0.0,0.0,0.0,0.0,0.0,721,133
236,37,0.0,0.0,0.0,0.0,0.0,821,133
237,37,0.0,0.0,0.0,0.0,0.0,720,133
238,37,0.0,0.0,0.0,0.0,0.0,114,133
239,37,0.0,0.0,0.0,0.0,0.0,215,133
240,37,0.0,0.0,0.0,0.0,0.0,215,133
241,37,0.0,0.0,0.0,0.0,0.0,215,133
242,37,0.0,0.0,0.0,0.0,0.0,821,133
243,37,0.0,0.0,0.0,0.0,0.0,821,133
244,37,0.0,0.0,0.0,0.0,0.0,821,133
245,37,0.0,0.0,0.0,0.0,0.0,922,133
246,38,0.0,0.0,0.0,0.0,0.0,1173,352
247,38,0.0,0.0,0.0,0.0,0.0,1173,352
248,38,0.0,0.0,0.0,0.0,0.0,518,352
249,38,0.0,0.0,0.0,0.0,0.0,518,352
250,38,0.0,0.0,0.0,0.0,0.0,518,352
251,38,0.0,0.0,0.0,0.0,0.0,720,352
252,38,0.0,0.0,0.0,0.0,0.0,821,352
253,38,0.0,0.0,0.0,0.0,0.0,821,352
254,38,0.0,0.0,0.0,0.0,0.0,821,352
255,38,0.0,0.0,0.0,0.0,0.0,922,352
256,38,0.0,0.0,0.0,0.0,0.0,922,352
257,38,0.0,0.0,0.0,0.0,0.0,720,352
258,38,0.0,0.0,0.0,0.0,0.0,619,352
259,38,0.0,0.0,0.0,0.0,0.0,619,352
260,38,0.0,0.0,0.0,0.0,0.0,619,352
261,38,0.0,0.0,0.0,0.0,0.0,821,352
262,38,0.0,0.0,0.0,0.0,0.0,821,352
263,38,0.0,0.0,0.0,0.0,0.0,820,352
264,38,0.0,0.0,0.0,0.0,0.0,820,352
265,38,0.0,0.0,0.0,0.0,0.0,820,352
266,38,0.0,0.0,0.0,0.0,0.0,922,352
267,38,0.0,0.0,0.0,0.0,0.0,922,352
268,38,0.0,0.0,0.0,0.0,0.0,922,352
269,39,0.0,0.0,0.0,0.0,0.0,1085,163
270,39,0.0,0.0,0.0,0.0,0.0,618,163
271,39,0.0,0.0,0.0,0.0,0.0,618,163
272,39,0.0,0.0,0.0,0.0,0.0,618,163
273,39,0.0,0.0,0.0,0.0,0.0,618,163
274,39,0.0,0.0,0.0,0.0,0.0,618,163
275,39,0.0,0.0,0.0,0.0,0.0,618,163
276,39,0.0,0.0,0.0,0.0,0.0,618,163
277,39,0.0,0.0,0.0,0.0,0.0,922,163
278,39,0.0,0.0,0.0,0.0,0.0,922,163
279,39,0.0,0.0,0.0,0.0,0.0,416,163
280,39,0.0,0.0,0.0,0.0,0.0,416,163
281,39,0.0,0.0,0.0,0.0,0.0,416,163
282,39,0.0,0.0,0.0,0.0,0.0,821,163
283,39,0.0,0.0,0.0,0.0,0.0,113,163
284,39,0.0,0.0,0.0,0.0,0.0,113,163
285,39,0.0,0.0,0.0,0.0,0.0,821,163
286,39,0.0,0.0,0.0,0.0,0.0,821,163
287,39,0.0,0.0,0.0,0.0,0.0,821,163
288,39,0.0,0.0,0.0,0.0,0.0,821,163
289,39,0.0,0.0,0.0,0.0,0.0,921,163
290,39,0.0,0.0,0.0,0.0,0.0,921,163
291,39,0.0,0.0,0.0,0.0,0.0,921,163
292,40,0.0,0.0,0.0,0.0,0.0,1082,262
293,40,0.0,0.0,0.0,0.0,0.0,619,262
294,40,0.0,0.0,0.0,0.0,0.0,619,262
295,40,0.0,0.0,0.0,0.0,0.0,719,262
296,40,0.0,0.0,0.0,0.0,0.0,719,262
297,40,0.0,0.0,0.0,0.0,0.0,719,262
298,40,0.0,0.0,0.0,0.0,0.0,922,262
299,40,0.0,0.0,0.0,0.0,0.0,922,262
300,40,0.0,0.0,0.0,0.0,0.0,619,262
301,40,0.0,0.0,0.0,0.0,0.0,619,262
302,40,0.0,0.0,0.0,0.0,0.0,719,262
303,40,0.0,0.0,0.0,0.0,0.0,719,262
304,40,0.0,0.0,0.0,0.0,0.0,821,262
305,40,0.0,0.0,0.0,0.0,0.0,921,262
306,40,0.0,0.0,0.0,0.0,0.0,922,262
307,40,0.0,0.0,0.0,0.0,0.0,922,262
308,40,0.0,0.0,0.0,0.0,0.0,922,262
309,41,0.0,0.0,0.0,0.0,0.0,952,131
310,41,0.0,0.0,0.0,0.0,0.0,952,131
311,41,0.0,0.0,0.0,0.0,0.0,952,131
312,41,0.0,0.0,0.0,0.0,0.0,720,131
313,41,0.0,0.0,0.0,0.0,0.0,720,131
314,41,0.0,0.0,0.0,0.0,0.0,720,131
315,41,0.0,0.0,0.0,0.0,0.0,921,131
316,41,0.0,0.0,0.0,0.0,0.0,719,131
317,41,0.0,0.0,0.0,0.0,0.0,820,131
318,41,0.0,0.0,0.0,0.0,0.0,820,131
319,41,0.0,0.0,0.0,0.0,0.0,820,131
320,41,0.0,0.0,0.0,0.0,0.0,820,131
321,41,0.0,0.0,0.0,0.0,0.0,820,131
322,41,0.0,0.0,0.0,0.0,0.0,518,131
323,41,0.0,0.0,0.0,0.0,0.0,518,131
324,41,0.0,0.0,0.0,0.0,0.0,821,131
325,41,0.0,0.0,0.0,0.0,0.0,821,131
326,41,0.0,0.0,0.0,0.0,0.0,922,131
327,41,0.0,0.0,0.0,0.0,0.0,922,131
328,41,0.0,0.0,0.0,0.0,0.0,922,131
329,41,0.0,0.0,0.0,0.0,0.0,821,131
330,42,0.0,0.0,0.0,0.0,0.0,826,105
331,42,0.0,0.0,0.0,0.0,0.0,826,105
332,42,0.0,0.0,0.0,0.0,0.0,821,105
333,42,0.0,0.0,0.0,0.0,0.0,821,105
334,42,0.0,0.0,0.0,0.0,0.0,821,105
335,42,0.0,0.0,0.0,0.0,0.0,821,105
336,42,0.0,0.0,0.0,0.0,0.0,922,105
337,42,0.0,0.0,0.0,0.0,0.0,922,105
338,42,0.0,0.0,0.0,0.0,0.0,821,105
339,42,0.0,0.0,0.0,0.0,0.0,821,105
340,42,0.0,0.0,0.0,0.0,0.0,821,105
341,42,0.0,0.0,0.0,0.0,0.0,821,105
342,42,0.0,0.0,0.0,0.0,0.0,821,105
343,42,0.0,0.0,0.0,0.0,0.0,821,105
344,42,0.0,0.0,0.0,0.0,0.0,821,105
345,42,0.0,0.0,0.0,0.0,0.0,821,105
346,42,0.0,0.0,0.0,0.0,0.0,618,105
347,42,0.0,0.0,0.0,0.0,0.0,618,105
348,42,0.0,0.0,0.0,0.0,0.0,821,105
349,42,0.0,0.0,0.0,0.0,0.0,821,105
